ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
52358,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/50,400,Bad Request,8,276,40
52359,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,POST,http://localhost:8882/,400,Bad Request,72,276,45
52360,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882/21,200,OK,7,269,365
52361,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/17,400,Bad Request,7,276,40
52362,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882,200,OK,9,271,7801
52363,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/18,400,Bad Request,4,276,40
52364,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882/,200,OK,4,271,7806
52365,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,PUT,http://localhost:8882/21,200,OK,12,268,198
52366,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882/21,200,OK,6,269,370
52367,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/50,400,Bad Request,8,276,40
52368,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/18,400,Bad Request,11,276,40
52369,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882,200,OK,11,271,7806
52370,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/17,400,Bad Request,15,276,40
52371,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882/21,200,OK,9,269,371
52372,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,PUT,http://localhost:8882/21,200,OK,12,268,199
52373,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,DELETE,http://localhost:8882/50,400,Bad Request,9,276,40
52374,Sat Mar 30 11:23:04 GMT 2024,Sat Mar 30 11:23:04 GMT 2024,GET,http://localhost:8882/,200,OK,13,271,7806
