ID,Source,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
1,Proxy,Sat Mar 30 10:55:45 GMT 2024,GET,http://localhost:8884/?order_by=id&sort=DESC,201,Created,69,23386,,false,JSON
3,Proxy,Sat Mar 30 10:55:58 GMT 2024,GET,http://localhost:8884/?order_by=id&sort=ASC,201,Created,30,23386,,false,JSON
4,Proxy,Sat Mar 30 10:55:58 GMT 2024,GET,http://localhost:8884/?order_by=id&sort=DESC,201,Created,19,23386,,false,JSON
5,Proxy,Sat Mar 30 10:56:20 GMT 2024,GET,http://localhost:8884/27,201,Created,30,2000,,false,JSON
6,Proxy,Sat Mar 30 10:56:20 GMT 2024,GET,http://localhost:8884/7,201,Created,29,781,,false,JSON
7,Proxy,Sat Mar 30 10:56:34 GMT 2024,PUT,http://localhost:8884/27,201,Created,60,1255,,false,JSON
8,Proxy,Sat Mar 30 10:56:46 GMT 2024,POST,http://localhost:8884/create,201,Created,39,965,,false,JSON
9,Proxy,Sat Mar 30 10:56:54 GMT 2024,POST,https://spocs.getpocket.com/spocs,200,OK,737,1168,,false,JSON
11,Proxy,Sat Mar 30 10:56:58 GMT 2024,DELETE,http://localhost:8884/28,201,Created,56,971,,false,JSON
12,Proxy,Sat Mar 30 10:57:10 GMT 2024,POST,http://localhost:8882/,201,Created,167,258,,false,JSON
14,Proxy,Sat Mar 30 10:57:55 GMT 2024,POST,http://localhost:8881/login,200,OK,138,542,,false,JSON
16,Proxy,Sat Mar 30 10:58:14 GMT 2024,GET,http://localhost:8882/,200,OK,28,7194,,false,JSON
17,Proxy,Sat Mar 30 10:58:29 GMT 2024,GET,http://localhost:8882/21,200,OK,47,311,,false,JSON
18,Proxy,Sat Mar 30 10:58:45 GMT 2024,PUT,http://localhost:8882/21,200,OK,46,150,,false,JSON
19,Proxy,Sat Mar 30 10:58:55 GMT 2024,DELETE,http://localhost:8882/17,200,OK,69,55,,false,JSON
20,Proxy,Sat Mar 30 10:59:09 GMT 2024,GET,http://localhost:8883/,200,OK,54,9589,,false,JSON
22,Proxy,Sat Mar 30 10:59:09 GMT 2024,GET,http://localhost:8883/,200,OK,6,9589,,false,
23,Proxy,Sat Mar 30 10:59:20 GMT 2024,GET,http://localhost:8883/17,200,OK,129,2811,,false,JSON
24,Proxy,Sat Mar 30 10:59:33 GMT 2024,GET,http://localhost:8883/17,200,OK,50,2811,,false,JSON
25,Proxy,Sat Mar 30 10:59:40 GMT 2024,POST,http://localhost:8883/,500,Internal Server Error,35,79,,false,JSON
26,Proxy,Sat Mar 30 11:00:07 GMT 2024,POST,http://localhost:8883/,201,Created,51,234,,false,JSON
