Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,290769,Sat Mar 30 14:37:10 GMT 2024,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,403,Forbidden,0,130,40,,false,
Processed,290770,Sat Mar 30 14:37:10 GMT 2024,GET,http://localhost:8886/,200,OK,14,241,62847,Medium,false,"Script, Comment"
Out of Scope,290771,Sat Mar 30 14:37:10 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
Processed,290772,Sat Mar 30 14:37:10 GMT 2024,GET,http://localhost:8886/assets/index-f63d4ef4.css,200,OK,24,242,119620,Low,false,
Processed,290773,Sat Mar 30 14:37:10 GMT 2024,GET,http://localhost:8886/assets/index-597b6b32.js,200,OK,29,258,1417176,Low,false,"Hidden, Script, Comment"
Processed,290774,Sat Mar 30 14:37:10 GMT 2024,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css,200,OK,164,951,101784,Informational,false,Comment
Processed,290775,Sat Mar 30 14:37:10 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,34,810,3011,Low,false,Comment
Out of Scope,290776,Sat Mar 30 14:37:11 GMT 2024,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,403,Forbidden,0,130,40,,false,
Processed,290777,Sat Mar 30 14:37:11 GMT 2024,GET,https://js-agent.newrelic.com/nr-spa-1.253.0.min.js,200,OK,14,799,101365,Low,false,Comment
Processed,290778,Sat Mar 30 14:37:12 GMT 2024,GET,http://localhost:8886/img/pattern.png,200,OK,4,243,101385,Low,false,Comment
Processed,290779,Sat Mar 30 14:37:12 GMT 2024,GET,http://localhost:8886/img/favicon.png,200,OK,7,238,809,Low,false,
Out of Scope,290780,Sat Mar 30 14:37:12 GMT 2024,GET,https://content-autofill.googleapis.com/v1/pages/ChRDaHJvbWUvMTIzLjAuNjMxMi44NxIgCSY9dpwabVaEEgUNkWGVThIFDTWGVBwhb_pQhEgYKSU=?alt=proto,403,Forbidden,0,130,40,,false,
Out of Scope,290781,Sat Mar 30 14:37:12 GMT 2024,POST,"https://bam.eu01.nr-data.net/1/NRJS-65820cd5fb121452e7b?a=538576602&sa=1&v=1.253.0&t=Unnamed%20Transaction&rst=2001&ck=0&s=b208cefb6d3ade8a&ref=http://localhost:8886/auth/sign-in&hr=0&af=err,xhr,stn,ins,spa&be=29&fe=904&dc=771&fsh=1&perf=%7B%22timing%22:%7B%22of%22:1711809430516,%22n%22:0,%22f%22:2,%22dn%22:2,%22dne%22:2,%22c%22:2,%22ce%22:2,%22rq%22:14,%22rp%22:29,%22rpe%22:38,%22di%22:496,%22ds%22:718,%22de%22:800,%22dc%22:877,%22l%22:883,%22le%22:933%7D,%22navigation%22:%7B%7D%7D&fp=1797&fcp=1797",403,Forbidden,0,130,40,,false,
Out of Scope,290782,Sat Mar 30 14:37:12 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
