Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,103064,Sat Mar 30 13:20:37 GMT 2024,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,403,Forbidden,0,130,40,,false,
Processed,103065,Sat Mar 30 13:20:37 GMT 2024,GET,http://localhost:8885/,200,OK,4,241,60931,Medium,false,"Script, Comment"
Processed,103066,Sat Mar 30 13:20:37 GMT 2024,GET,http://localhost:8885/static/js/main.fd39a2f5.js,200,OK,9,256,687304,Low,false,"Script, Comment"
Processed,103067,Sat Mar 30 13:20:38 GMT 2024,GET,http://localhost:8885/static/css/main.1d05e13a.css,200,OK,9,241,76680,Low,false,Comment
Out of Scope,103068,Sat Mar 30 13:20:38 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@500;600;700;800&display=swap,403,Forbidden,0,130,40,,false,
Out of Scope,103069,Sat Mar 30 13:20:38 GMT 2024,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,403,Forbidden,0,130,40,,false,
Processed,103070,Sat Mar 30 13:20:39 GMT 2024,GET,http://localhost:8885/images/header/header.jpg,200,OK,2,243,74950,Low,false,Comment
Processed,103071,Sat Mar 30 13:20:39 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-design-2x-v2.jpeg,200,OK,0,242,28919,Low,false,
Processed,103072,Sat Mar 30 13:20:39 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-development-2x-v2.jpeg,200,OK,1,242,28189,Low,false,Comment
Processed,103073,Sat Mar 30 13:20:39 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-marketing-2x-v2.jpeg,200,OK,1,242,28000,Low,false,
Processed,103074,Sat Mar 30 13:20:39 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-personal-development-2x-v2.jpeg,200,OK,1,242,29209,Low,false,
