ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
289648,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/logo-ub.svg,200,OK,1,243,3087
289649,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/instructor-2x-v3.jpeg,200,OK,2,243,98109
289650,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/core,404,Not Found,1,155,555
289651,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/netapp-dark.svg,200,OK,0,243,2441
289652,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/eventbrite-dark.svg,200,OK,1,244,8833
289653,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/volkswagen-dark.svg,200,OK,2,243,1917
289654,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/footer/logo-udemy-inverted.svg,400,Bad Request,2,152,157
289655,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/,200,OK,1,241,60931
289656,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/box-dark.svg,200,OK,1,243,1603
289657,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/ub-2x-v3.jpeg,400,Bad Request,0,152,157
289658,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885,200,OK,1,241,60931
289659,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/volkswagen-dark.svg,200,OK,1,243,1917
289660,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/footer/logo-udemy-inverted.svg,400,Bad Request,1,152,157
289661,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/logo-ub.svg,200,OK,1,243,3087
289662,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/transform-2x-v3.jpeg,200,OK,1,243,66936
289663,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/header/header.jpg,400,Bad Request,1,152,157
289664,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/volkswagen-dark.svg,200,OK,1,243,1917
289665,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/footer/logo-udemy-inverted.svg,200,OK,1,243,2043
289666,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/nasdaq-dark.svg,200,OK,1,244,5296
289667,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885,200,OK,2,241,60931
289668,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/header/header.jpg,400,Bad Request,1,152,157
289669,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/images/advertisement/volkswagen-dark.svg,200,OK,1,243,1917
289670,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/favicon.ico,200,OK,0,242,3870
289671,Sat Mar 30 14:30:26 GMT 2024,Sat Mar 30 14:30:26 GMT 2024,GET,http://localhost:8885/,200,OK,3,241,60931
