ID,Source,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Body,Highest Alert,Note,Tags
102790,Proxy,Sat Mar 30 13:07:34 GMT 2024,GET,http://localhost:8880/api/courses,201,Created,422,4913498,Low,false,"Script, Comment, JSON"
102793,Proxy,Sat Mar 30 13:07:59 GMT 2024,GET,http://localhost:8880/api/courses/8,201,Created,50,480,Low,false,JSON
102795,Proxy,Sat Mar 30 13:08:06 GMT 2024,DELETE,http://localhost:8880/api/courses/8,201,Created,42,469,Low,false,JSON
102796,Proxy,Sat Mar 30 13:08:17 GMT 2024,PUT,http://localhost:8880/api/courses/8,201,Created,48,827,Low,false,JSON
102798,Proxy,Sat Mar 30 13:09:17 GMT 2024,POST,http://localhost:8880/api/courses/create,201,Created,99,773,Low,false,JSON
102799,Proxy,Sat Mar 30 13:10:50 GMT 2024,POST,http://localhost:8880/api/customers,201,Created,227,232,Low,false,JSON
102800,Proxy,Sat Mar 30 13:10:53 GMT 2024,POST,http://localhost:8880/api/customers,201,Created,78,229,Low,false,JSON
102801,Proxy,Sat Mar 30 13:10:54 GMT 2024,POST,http://localhost:8880/api/customers,201,Created,109,227,Low,false,JSON
102802,Proxy,Sat Mar 30 13:11:23 GMT 2024,POST,http://localhost:8880/api/users/login,200,OK,125,537,Low,false,JSON
102804,Proxy,Sat Mar 30 13:11:34 GMT 2024,POST,http://localhost:8880/api/users/login,200,OK,121,533,Low,false,JSON
102805,Proxy,Sat Mar 30 13:11:44 GMT 2024,POST,http://localhost:8880/api/users/login,200,OK,117,535,Low,false,JSON
102806,Proxy,Sat Mar 30 13:12:04 GMT 2024,GET,http://localhost:8880/api/customers,200,OK,33,8495,Low,false,JSON
102807,Proxy,Sat Mar 30 13:12:09 GMT 2024,GET,http://localhost:8880/api/customers/4,200,OK,19,296,Low,false,JSON
102809,Proxy,Sat Mar 30 13:12:12 GMT 2024,DELETE,http://localhost:8880/api/customers/4,200,OK,51,55,Low,false,JSON
102810,Proxy,Sat Mar 30 13:12:17 GMT 2024,PUT,http://localhost:8880/api/customers/5,200,OK,34,147,Low,false,JSON
102811,Proxy,Sat Mar 30 13:12:38 GMT 2024,GET,http://localhost:8880/api/enrollment,200,OK,112,1200506,Low,false,"Script, Comment, JSON"
102812,Proxy,Sat Mar 30 13:13:26 GMT 2024,GET,http://localhost:8880/api/enrollment/17,200,OK,628,3233326,Low,false,"Script, Comment, JSON"
102814,Proxy,Sat Mar 30 13:13:35 GMT 2024,POST,http://localhost:8880/api/enrollment,201,Created,82,236,Low,false,JSON
102817,Proxy,Sat Mar 30 13:14:44 GMT 2024,POST,https://spocs.getpocket.com/spocs,200,OK,308,1168,Low,false,JSON
102819,Proxy,Sat Mar 30 13:15:23 GMT 2024,GET,https://www.google.com/complete/search?client=firefox&q=localhost%3A&channel=fen,200,OK,81,294,Low,false,
102822,Proxy,Sat Mar 30 13:15:26 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@500;600;700;800&display=swap,200,OK,60,6420,,false,Comment
102824,Proxy,Sat Mar 30 13:15:26 GMT 2024,GET,https://fonts.gstatic.com/s/playfairdisplay/v37/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2,200,OK,68,38340,Low,false,Comment
102825,Proxy,Sat Mar 30 13:15:26 GMT 2024,GET,https://fonts.gstatic.com/s/playfairdisplay/v37/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2,200,OK,68,38340,Low,false,Comment
102830,Proxy,Sat Mar 30 13:15:27 GMT 2024,GET,https://js-agent.newrelic.com/nr-spa-1.253.0.min.js,200,OK,69,101365,Low,false,Comment
102832,Proxy,Sat Mar 30 13:15:27 GMT 2024,GET,https://fakeimg.pl/1430x810,200,OK,148,22250,Low,false,
102834,Proxy,Sat Mar 30 13:16:01 GMT 2024,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,200,OK,128,17,,false,JSON
102836,Proxy,Sat Mar 30 13:16:02 GMT 2024,GET,http://localhost:8885/,200,OK,7,60931,Medium,false,"Comment, Script"
102838,Proxy,Sat Mar 30 13:16:02 GMT 2024,GET,http://localhost:8885/static/js/main.fd39a2f5.js,200,OK,14,687304,Low,false,"Comment, Script"
102841,Proxy,Sat Mar 30 13:16:02 GMT 2024,GET,http://localhost:8885/static/css/main.1d05e13a.css,200,OK,3,76680,Low,false,Comment
102843,Proxy,Sat Mar 30 13:16:02 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@500;600;700;800&display=swap,200,OK,42,6420,,false,Comment
102844,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/header/header.jpg,200,OK,9,74950,Low,false,Comment
102845,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-development-2x-v2.jpeg,200,OK,7,28189,Low,false,Comment
102846,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-design-2x-v2.jpeg,200,OK,8,28919,Low,false,
102848,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-it-and-software-2x-v2.jpeg,200,OK,5,28186,Low,false,Comment
102850,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-personal-development-2x-v2.jpeg,200,OK,1,29209,Low,false,
102852,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-photography-2x-v2.jpeg,200,OK,2,28795,Low,false,
102853,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-marketing-2x-v2.jpeg,200,OK,5,28000,Low,false,
102854,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/instructor-2x-v3.jpeg,200,OK,9,98109,Low,false,Comment
102855,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-music-2x-v2.jpeg,200,OK,11,37082,Low,false,
102856,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/nasdaq-dark.svg,200,OK,3,5296,Low,false,
102857,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/top-categories/lohp-category-business-2x-v2.jpeg,200,OK,5,27795,Low,false,
102858,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/volkswagen-dark.svg,200,OK,5,1917,Low,false,
102859,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/netapp-dark.svg,200,OK,3,2441,Low,false,
102860,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/logo-ub.svg,200,OK,3,3087,Low,false,
102861,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/eventbrite-dark.svg,200,OK,2,8833,Low,false,
102862,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/box-dark.svg,200,OK,3,1603,Low,false,
102863,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/transform-2x-v3.jpeg,200,OK,3,66936,Low,false,Comment
102864,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/advertisement/ub-2x-v3.jpeg,200,OK,9,127179,Low,false,
102865,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,http://localhost:8885/images/footer/logo-udemy-inverted.svg,200,OK,8,2043,Low,false,Comment
102868,Proxy,Sat Mar 30 13:16:04 GMT 2024,GET,https://content-autofill.googleapis.com/v1/pages/ChRDaHJvbWUvMTIzLjAuNjMxMi44NxIgCW6cTvWGnze4EgUNNDfTKxIFDdzkyiwh0KTMr-mEIXI=?alt=proto,200,OK,82,28,Low,false,
102872,Proxy,Sat Mar 30 13:16:05 GMT 2024,GET,https://content-autofill.googleapis.com/v1/pages/ChRDaHJvbWUvMTIzLjAuNjMxMi44NxJRCbTmrF5B_mW2EgUNBu27_xIFDQbtu_8SBQ0G7bv_EgUNBu27_xIFDQbtu_8SBQ0G7bv_EgUNBu27_xIFDQbtu_8SBQ0G7bv_IbjyBhz3kidQ?alt=proto,200,OK,61,112,Low,false,
