Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,40,Tue Mar 26 21:40:27 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,41,Tue Mar 26 21:40:27 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,42,Tue Mar 26 21:40:28 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,43,Tue Mar 26 21:40:28 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,44,Tue Mar 26 21:40:28 GMT 2024,GET,http://localhost:9991/,200,OK,3,239,1941,Medium,false,"Script, Comment"
Processed,45,Tue Mar 26 21:40:28 GMT 2024,GET,http://localhost:9991/assets/index-f63d4ef4.css,200,OK,17,242,119620,Low,false,
Processed,46,Tue Mar 26 21:40:28 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,24,258,1417192,Low,false,
Out of Scope,47,Tue Mar 26 21:40:28 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
Processed,48,Tue Mar 26 21:40:29 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,126,812,3011,Low,false,Comment
Processed,51,Tue Mar 26 21:40:29 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,143,808,3011,Low,false,Comment
Processed,52,Tue Mar 26 21:40:29 GMT 2024,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css,200,OK,143,943,101784,Informational,false,Comment
Processed,59,Tue Mar 26 21:40:29 GMT 2024,GET,http://localhost:9991/img/favicon.png,200,OK,2,238,809,Low,false,
Processed,60,Tue Mar 26 21:40:29 GMT 2024,GET,http://localhost:9991/img/pattern.png,200,OK,2,243,101385,Low,false,Comment
Out of Scope,61,Tue Mar 26 21:40:30 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
Out of Scope,62,Tue Mar 26 21:40:31 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,63,Tue Mar 26 21:40:31 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,64,Tue Mar 26 21:40:31 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,65,Tue Mar 26 21:40:31 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,66,Tue Mar 26 21:40:32 GMT 2024,GET,http://localhost:9991/,200,OK,3,239,1941,Medium,false,"Script, Comment"
Processed,67,Tue Mar 26 21:40:32 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,16,258,1417192,Low,false,
Processed,68,Tue Mar 26 21:40:32 GMT 2024,GET,http://localhost:9991/assets/index-f63d4ef4.css,200,OK,6,242,119620,Low,false,
Out of Scope,69,Tue Mar 26 21:40:32 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
Processed,70,Tue Mar 26 21:40:32 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,36,810,3011,Low,false,Comment
Processed,71,Tue Mar 26 21:40:32 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,41,814,3011,Low,false,Comment
Processed,72,Tue Mar 26 21:40:32 GMT 2024,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css,200,OK,108,945,101784,Informational,false,Comment
Processed,73,Tue Mar 26 21:40:32 GMT 2024,GET,http://localhost:9991/img/favicon.png,200,OK,1,238,809,Low,false,
Processed,74,Tue Mar 26 21:40:32 GMT 2024,GET,http://localhost:9991/img/pattern.png,200,OK,3,243,101385,Low,false,
Processed,75,Tue Mar 26 21:40:32 GMT 2024,GET,http://localhost:9991/img/pattern.png,200,OK,3,243,101385,Low,false,
Out of Scope,76,Tue Mar 26 21:40:33 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,77,Tue Mar 26 21:40:33 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,78,Tue Mar 26 21:40:33 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,79,Tue Mar 26 21:40:34 GMT 2024,OPTIONS,http://localhost:8880/api/users/login,204,No Content,6,373,0,Low,false,
Processed,80,Tue Mar 26 21:40:34 GMT 2024,POST,http://localhost:8880/api/users/login,500,Internal Server Error,15,313,44,Low,false,JSON
Out of Scope,81,Tue Mar 26 21:40:34 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,82,Tue Mar 26 21:40:35 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,83,Tue Mar 26 21:40:35 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,84,Tue Mar 26 21:40:35 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,85,Tue Mar 26 21:40:36 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,86,Tue Mar 26 21:40:36 GMT 2024,GET,http://localhost:9991/,200,OK,2,239,1941,Medium,false,"Script, Comment"
Processed,87,Tue Mar 26 21:40:36 GMT 2024,GET,http://localhost:9991/assets/index-f63d4ef4.css,200,OK,10,242,119620,Low,false,
Processed,88,Tue Mar 26 21:40:36 GMT 2024,GET,http://localhost:9991/assets/index-f60dc4fb.js,200,OK,20,258,1417192,Low,false,
Out of Scope,89,Tue Mar 26 21:40:36 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
Processed,90,Tue Mar 26 21:40:36 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,33,810,3011,Low,false,Comment
Processed,91,Tue Mar 26 21:40:36 GMT 2024,GET,https://api.nepcha.com/js/nepcha-analytics.js,200,OK,41,812,3011,Low,false,Comment
Processed,92,Tue Mar 26 21:40:36 GMT 2024,GET,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.0/css/all.min.css,200,OK,98,949,101784,Informational,false,
Processed,93,Tue Mar 26 21:40:36 GMT 2024,GET,http://localhost:9991/img/favicon.png,200,OK,16,238,809,Low,false,
Processed,94,Tue Mar 26 21:40:36 GMT 2024,GET,http://localhost:9991/img/pattern.png,200,OK,2,243,101385,Low,false,
Out of Scope,95,Tue Mar 26 21:40:37 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,96,Tue Mar 26 21:40:37 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,97,Tue Mar 26 21:40:37 GMT 2024,GET,https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700;900&display=swap,403,Forbidden,0,130,40,,false,
Out of Scope,98,Tue Mar 26 21:40:37 GMT 2024,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,99,Tue Mar 26 21:40:37 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,100,Tue Mar 26 21:40:37 GMT 2024,OPTIONS,http://localhost:8880/api/users/login,204,No Content,5,373,0,Low,false,
Processed,101,Tue Mar 26 21:40:38 GMT 2024,POST,http://localhost:8880/api/users/login,500,Internal Server Error,8,313,44,Low,false,JSON
