Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,173392,Tue Mar 26 11:44:48 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173429,Tue Mar 26 11:44:52 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173462,Tue Mar 26 11:44:54 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173499,Tue Mar 26 11:44:57 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173532,Tue Mar 26 11:44:59 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173565,Tue Mar 26 11:45:02 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173602,Tue Mar 26 11:45:05 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173636,Tue Mar 26 11:45:07 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173673,Tue Mar 26 11:45:11 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173712,Tue Mar 26 11:45:15 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,173721,Tue Mar 26 11:45:17 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,127,303,39,Low,false,JSON
Out of Scope,173749,Tue Mar 26 11:45:19 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173787,Tue Mar 26 11:45:23 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173827,Tue Mar 26 11:45:27 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173867,Tue Mar 26 11:45:31 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173905,Tue Mar 26 11:45:35 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173941,Tue Mar 26 11:45:41 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,173982,Tue Mar 26 11:45:46 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,174009,Tue Mar 26 11:45:53 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Out of Scope,174056,Tue Mar 26 11:45:58 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,174097,Tue Mar 26 11:46:04 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,57,303,39,Low,false,JSON
Out of Scope,174101,Tue Mar 26 11:46:05 GMT 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=124.0&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,174155,Tue Mar 26 11:46:27 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,217,303,39,Low,false,JSON
Processed,174172,Tue Mar 26 11:46:37 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,248,303,39,Low,false,JSON
Processed,174248,Tue Mar 26 11:47:16 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,157,303,39,Low,false,
Processed,174301,Tue Mar 26 11:47:55 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,58,303,39,Low,false,JSON
Processed,174317,Tue Mar 26 11:48:07 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,148,303,39,Low,false,JSON
Processed,174320,Tue Mar 26 11:48:09 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,113,303,39,Low,false,JSON
Processed,174335,Tue Mar 26 11:48:14 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,88,303,39,Low,false,
Processed,174340,Tue Mar 26 11:48:15 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,27,303,39,Low,false,
Processed,174421,Tue Mar 26 11:48:43 GMT 2024,POST,http://localhost:8880/api/enrollment,400,Bad Request,112,303,39,Low,false,JSON
